file,time,date,hr_bpm,pace_sec_per_km,pace_min_per_km,grade_percent,distance_m,duration_s,num_points,fits_criteria
12186164442.gpx.gz,2024-05-11 13:51:58.500,2024-05-11,133.82608695652175,716.8688627008231,11.947814378347053,6.963868951950853,244.11717275692894,175.0,46,False
12186164442.gpx.gz,2024-05-11 13:54:59.000,2024-05-11,137.70909090909092,745.6929670580793,12.428216117634655,1.0892170032020685,238.7041421380822,178.0,55,False
12186164442.gpx.gz,2024-05-11 13:57:58.500,2024-05-11,125.01587301587301,834.2309885809508,13.903849809682514,-12.956207429646193,214.56886935413868,179.0,63,False
12186164442.gpx.gz,2024-05-11 14:00:55.500,2024-05-11,130.16326530612244,1288.0906685222851,21.468177808704752,4.318456536630066,134.30731564763832,173.0,49,False
12186164442.gpx.gz,2024-05-11 14:03:58.000,2024-05-11,107.16666666666667,4562.804041786629,76.04673402977714,4.147979939284069,38.57277200339395,176.0,36,False
12186164442.gpx.gz,2024-05-11 14:06:59.500,2024-05-11,128.40384615384616,800.2118906023517,13.336864843372528,2.7435836249223486,218.69207650522472,175.0,52,False
12186164442.gpx.gz,2024-05-11 14:09:58.000,2024-05-11,135.21428571428572,823.0739842493535,13.717899737489226,0.0,216.26245441633858,178.0,42,False
12186164442.gpx.gz,2024-05-11 14:12:57.500,2024-05-11,138.60377358490567,785.5257616679717,13.092096027799528,-3.4616335322444396,225.32679211457216,177.0,53,False
12186164442.gpx.gz,2024-05-11 14:15:59.500,2024-05-11,121.97916666666667,1109.27713893871,18.487952315645167,1.9016179524663601,157.76039535749337,175.0,48,False
12186164442.gpx.gz,2024-05-11 14:18:57.000,2024-05-11,142.74358974358975,941.1991210367206,15.686652017278677,6.975949805697778,180.6206531650251,170.0,39,False
12186164442.gpx.gz,2024-05-11 14:21:56.500,2024-05-11,138.34146341463415,867.8734904352473,14.464558173920787,2.1820864591624014,201.64229225648515,175.0,41,False
12186164442.gpx.gz,2024-05-11 14:24:57.500,2024-05-11,130.52941176470588,1034.8223951765178,17.247039919608632,-5.027954189024132,171.04384368276808,177.0,51,False
12186164442.gpx.gz,2024-05-11 14:27:57.000,2024-05-11,126.39024390243902,981.8634246784446,16.36439041130741,1.712552484904264,175.17711290277376,172.0,41,False
12186164442.gpx.gz,2024-05-11 14:30:57.500,2024-05-11,125.94444444444444,889.0741556060487,14.817902593434146,1.2055288774980326,199.0835060089512,177.0,36,False
12186164442.gpx.gz,2024-05-11 14:33:58.500,2024-05-11,128.53488372093022,750.3085842435344,12.505143070725573,1.2004950432239887,233.23736883063393,175.0,43,False
12186164442.gpx.gz,2024-05-11 14:36:59.000,2024-05-11,137.4,803.5365170293944,13.39227528382324,6.049092372919213,221.52073518456973,178.0,55,False
12186164442.gpx.gz,2024-05-11 14:40:00.500,2024-05-11,111.25581395348837,1663.606930463105,27.726782174385086,1.9457390999568482,102.78870379098386,171.0,43,False
12186164442.gpx.gz,2024-05-11 14:43:01.000,2024-05-11,107.31111111111112,1038.2259810882385,17.303766351470642,-2.6253953907814664,167.59357131249809,174.0,45,False
12186164442.gpx.gz,2024-05-11 14:45:57.000,2024-05-11,119.98333333333333,872.6353135041031,14.543921891735051,5.479339563323227,197.10410218138765,172.0,60,False
12186164442.gpx.gz,2024-05-11 14:48:58.500,2024-05-11,127.64285714285714,889.9988481922792,14.833314136537986,1.4916181813278422,201.1238557932696,179.0,42,False
12186164442.gpx.gz,2024-05-11 14:51:57.000,2024-05-11,111.41666666666667,661.232757566604,11.020545959443401,-9.226503593952614,260.12020431803086,172.0,48,False
12186164442.gpx.gz,2024-05-11 14:54:57.500,2024-05-11,128.69387755102042,777.2078561060526,12.95346426843421,3.8640855963748084,227.73830528013568,177.0,49,False
12186164442.gpx.gz,2024-05-11 14:57:59.500,2024-05-11,115.4047619047619,992.7315077662141,16.545525129436903,0.0,174.2666558345412,173.0,42,False
12186164442.gpx.gz,2024-05-11 15:00:59.000,2024-05-11,122.88571428571429,889.5642542285728,14.826070903809548,-1.1378131654466266,193.35309302548114,172.0,35,False
12186164442.gpx.gz,2024-05-11 15:03:59.000,2024-05-11,125.22,699.6192911143158,11.66032151857193,-5.18818680204513,254.4240878728361,178.0,50,False
12186164442.gpx.gz,2024-05-11 15:06:59.000,2024-05-11,129.9787234042553,1229.9753254443308,20.499588757405512,5.527978990761037,144.71835029348836,178.0,47,False
12186164442.gpx.gz,2024-05-11 15:10:00.500,2024-05-11,131.97674418604652,811.9423589429334,13.53237264904889,1.9486602455479332,215.5325412851132,175.0,43,False
12186164442.gpx.gz,2024-05-11 15:13:00.000,2024-05-11,118.33333333333333,712.7578185715204,11.879296976192006,-0.9945432640948643,241.31618835794077,172.0,39,False
12186164442.gpx.gz,2024-05-11 15:15:59.500,2024-05-11,132.1509433962264,865.2221257118047,14.420368761863411,5.474850377132108,204.5717449197047,177.0,53,False
12186164442.gpx.gz,2024-05-11 15:18:59.000,2024-05-11,138.11111111111111,568.8073172460047,9.480121954100078,-3.7920457887742134,305.90323774746093,174.0,54,False
12186164442.gpx.gz,2024-05-11 15:21:59.500,2024-05-11,114.1842105263158,2089.8221887960203,34.830369813267005,-3.1048859692183064,83.73918170560734,175.0,38,False
12186164442.gpx.gz,2024-05-11 15:24:56.000,2024-05-11,110.44,1991.9068584643182,33.19844764107197,4.12119359086562,87.35348204692018,174.0,50,False
12186164442.gpx.gz,2024-05-11 15:27:58.500,2024-05-11,120.92857142857143,811.68123414898,13.528020569149668,5.713513130942035,220.52992291693843,179.0,56,False
12186164442.gpx.gz,2024-05-11 15:30:58.000,2024-05-11,113.45714285714286,819.294881882253,13.65491469803755,1.104664447156345,217.25999263056755,178.0,35,False
12186164442.gpx.gz,2024-05-11 15:33:58.500,2024-05-11,92.56818181818181,1234.780666296192,20.5796777716032,-0.8371373058214041,143.34529591471775,177.0,44,False
12186164442.gpx.gz,2024-05-11 15:36:59.500,2024-05-11,95.47619047619048,1137.453066472632,18.957551107877197,-1.2852577022289626,155.6108161446139,177.0,42,False
12186164442.gpx.gz,2024-05-11 15:39:58.000,2024-05-11,106.71875,716.8225303623444,11.947042172705741,-0.16291172557239963,245.5279968823445,176.0,32,False
12186164442.gpx.gz,2024-05-11 15:42:56.500,2024-05-11,108.8,676.0143571917358,11.266905953195597,-0.4000084953797253,249.9946905004372,169.0,30,False
12186164442.gpx.gz,2024-05-11 15:45:57.000,2024-05-11,110.54545454545455,888.7921575837738,14.81320262639623,0.30647537782473133,195.77130436549726,174.0,44,False
12186164442.gpx.gz,2024-05-11 15:48:59.000,2024-05-11,86.75,2375.316419110591,39.58860698517652,-0.5398569967702012,74.09539149563118,176.0,36,False
12186164442.gpx.gz,2024-05-11 15:51:58.000,2024-05-11,105.97674418604652,772.7748860894874,12.87958143482479,0.09092024147357716,219.98644503091938,170.0,43,False
12186164442.gpx.gz,2024-05-11 15:54:59.000,2024-05-11,105.31914893617021,984.5388382183709,16.40898063697285,2.212446827457013,180.79530546718723,178.0,47,False
12186164442.gpx.gz,2024-05-11 15:57:58.500,2024-05-11,99.48571428571428,1327.4965573724721,22.124942622874535,-0.3034231546017193,131.82708386557275,175.0,35,False
12186164442.gpx.gz,2024-05-11 16:00:56.500,2024-05-11,94.2258064516129,1165.6151677221947,19.426919462036576,-1.8147344613341887,143.27198600747937,167.0,31,False
12186164442.gpx.gz,2024-05-11 16:03:57.000,2024-05-11,99.95918367346938,3394.385326773778,56.57308877956297,0.0,51.85033019432731,176.0,49,False
12186164442.gpx.gz,2024-05-11 16:06:58.500,2024-05-11,101.47619047619048,3722.188273058737,62.03647121764562,5.822392026645752,48.089990851780684,179.0,42,False
